"Date","Open","High","Low","Close","Volume"
"Thu Apr 20 2023 13:55:00 GMT+0530 (India Standard Time)","17695.25","17697.10","17678.45","17682.00","15800.00"
"Thu Apr 20 2023 14:05:00 GMT+0530 (India Standard Time)","17682.00","17690.00","17672.90","17684.95","19650.00"
"Thu Apr 20 2023 14:15:00 GMT+0530 (India Standard Time)","17684.95","17705.55","17682.90","17697.35","16600.00"
"Thu Apr 20 2023 14:25:00 GMT+0530 (India Standard Time)","17697.35","17701.00","17688.75","17701.00","14950.00"
"Thu Apr 20 2023 14:35:00 GMT+0530 (India Standard Time)","17701.00","17701.30","17692.00","17695.45","27150.00"
"Thu Apr 20 2023 14:45:00 GMT+0530 (India Standard Time)","17695.45","17700.00","17690.35","17693.90","15450.00"
"Thu Apr 20 2023 14:55:00 GMT+0530 (India Standard Time)","17694.60","17707.95","17690.00","17705.20","37450.00"
"Thu Apr 20 2023 15:05:00 GMT+0530 (India Standard Time)","17705.90","17720.25","17705.90","17718.35","39700.00"
"Thu Apr 20 2023 15:15:00 GMT+0530 (India Standard Time)","17718.10","17720.00","17712.20","17717.15","35350.00"
"Thu Apr 20 2023 15:25:00 GMT+0530 (India Standard Time)","17717.15","17719.45","17713.65","17718.95","12250.00"
"Fri Apr 21 2023 09:15:00 GMT+0530 (India Standard Time)","17721.75","17740.00","17714.80","17732.00","40100.00"
"Fri Apr 21 2023 09:25:00 GMT+0530 (India Standard Time)","17733.20","17746.00","17716.65","17716.65","29150.00"
"Fri Apr 21 2023 09:35:00 GMT+0530 (India Standard Time)","17716.65","17742.90","17707.80","17708.00","33250.00"
"Fri Apr 21 2023 09:45:00 GMT+0530 (India Standard Time)","17708.00","17721.60","17699.00","17702.40","14500.00"
"Fri Apr 21 2023 09:55:00 GMT+0530 (India Standard Time)","17701.35","17708.05","17691.00","17696.15","18500.00"
"Fri Apr 21 2023 10:05:00 GMT+0530 (India Standard Time)","17696.05","17703.05","17691.00","17699.05","13250.00"
"Fri Apr 21 2023 10:15:00 GMT+0530 (India Standard Time)","17699.05","17703.15","17680.00","17681.00","21150.00"
"Fri Apr 21 2023 10:25:00 GMT+0530 (India Standard Time)","17681.00","17694.00","17675.85","17691.05","20950.00"
"Fri Apr 21 2023 10:35:00 GMT+0530 (India Standard Time)","17691.05","17698.00","17682.95","17682.95","15950.00"
"Fri Apr 21 2023 10:45:00 GMT+0530 (India Standard Time)","17682.95","17692.90","17674.00","17691.25","16400.00"
"Fri Apr 21 2023 10:55:00 GMT+0530 (India Standard Time)","17691.25","17691.25","17682.00","17689.20","7150.00"
"Fri Apr 21 2023 11:05:00 GMT+0530 (India Standard Time)","17689.20","17698.00","17685.90","17693.10","13600.00"
"Fri Apr 21 2023 11:15:00 GMT+0530 (India Standard Time)","17693.10","17699.00","17686.00","17688.00","9000.00"
"Fri Apr 21 2023 11:25:00 GMT+0530 (India Standard Time)","17688.00","17694.95","17685.00","17692.60","5900.00"
"Fri Apr 21 2023 11:35:00 GMT+0530 (India Standard Time)","17692.60","17697.25","17685.00","17694.00","10300.00"
"Fri Apr 21 2023 11:45:00 GMT+0530 (India Standard Time)","17694.00","17698.00","17690.00","17690.00","10400.00"
"Fri Apr 21 2023 11:55:00 GMT+0530 (India Standard Time)","17690.00","17702.20","17685.20","17689.50","13650.00"
"Fri Apr 21 2023 12:05:00 GMT+0530 (India Standard Time)","17689.50","17691.30","17675.95","17681.25","10900.00"
"Fri Apr 21 2023 12:15:00 GMT+0530 (India Standard Time)","17680.00","17681.25","17675.50","17680.00","10050.00"
"Fri Apr 21 2023 12:25:00 GMT+0530 (India Standard Time)","17680.00","17682.70","17665.00","17670.00","20300.00"
"Fri Apr 21 2023 12:35:00 GMT+0530 (India Standard Time)","17670.00","17684.00","17670.00","17675.00","10350.00"
"Fri Apr 21 2023 12:45:00 GMT+0530 (India Standard Time)","17675.00","17681.00","17672.00","17674.00","17350.00"
"Fri Apr 21 2023 12:55:00 GMT+0530 (India Standard Time)","17674.00","17680.00","17646.00","17649.00","48800.00"
"Fri Apr 21 2023 13:05:00 GMT+0530 (India Standard Time)","17649.00","17656.00","17644.10","17649.00","37900.00"
"Fri Apr 21 2023 13:15:00 GMT+0530 (India Standard Time)","17649.00","17668.15","17647.75","17666.25","21600.00"
"Fri Apr 21 2023 13:25:00 GMT+0530 (India Standard Time)","17666.25","17688.75","17666.00","17680.05","24700.00"
"Fri Apr 21 2023 13:35:00 GMT+0530 (India Standard Time)","17680.05","17690.00","17677.00","17681.00","30000.00"
"Fri Apr 21 2023 13:45:00 GMT+0530 (India Standard Time)","17681.00","17699.00","17680.00","17697.00","28350.00"
"Fri Apr 21 2023 13:55:00 GMT+0530 (India Standard Time)","17697.95","17697.95","17690.05","17692.00","10700.00"
"Fri Apr 21 2023 14:05:00 GMT+0530 (India Standard Time)","17692.00","17695.00","17684.00","17689.00","11850.00"
"Fri Apr 21 2023 14:15:00 GMT+0530 (India Standard Time)","17689.00","17714.00","17685.00","17708.00","22700.00"
"Fri Apr 21 2023 14:25:00 GMT+0530 (India Standard Time)","17708.00","17728.00","17707.25","17717.05","38400.00"
"Fri Apr 21 2023 14:35:00 GMT+0530 (India Standard Time)","17715.00","17716.70","17701.40","17705.00","11800.00"
"Fri Apr 21 2023 14:45:00 GMT+0530 (India Standard Time)","17705.00","17716.35","17703.00","17709.10","16250.00"
"Fri Apr 21 2023 14:55:00 GMT+0530 (India Standard Time)","17710.00","17726.00","17708.00","17716.85","31700.00"
"Fri Apr 21 2023 15:05:00 GMT+0530 (India Standard Time)","17716.85","17727.00","17714.00","17727.00","22650.00"
"Fri Apr 21 2023 15:15:00 GMT+0530 (India Standard Time)","17723.00","17727.00","17708.00","17708.00","25450.00"
"Fri Apr 21 2023 15:25:00 GMT+0530 (India Standard Time)","17707.85","17711.05","17704.85","17707.05","30400.00"
"Mon Apr 24 2023 09:15:00 GMT+0530 (India Standard Time)","17750.00","17773.15","17735.20","17750.75","86850.00"
"Mon Apr 24 2023 09:25:00 GMT+0530 (India Standard Time)","17754.00","17755.00","17720.05","17728.70","70650.00"
"Mon Apr 24 2023 09:35:00 GMT+0530 (India Standard Time)","17728.70","17735.80","17709.00","17709.00","37200.00"
"Mon Apr 24 2023 09:45:00 GMT+0530 (India Standard Time)","17709.00","17743.50","17709.00","17722.45","49900.00"
"Mon Apr 24 2023 09:55:00 GMT+0530 (India Standard Time)","17722.45","17723.25","17702.05","17710.00","37050.00"
"Mon Apr 24 2023 10:05:00 GMT+0530 (India Standard Time)","17710.00","17714.00","17696.85","17711.10","32200.00"
"Mon Apr 24 2023 10:15:00 GMT+0530 (India Standard Time)","17711.10","17717.95","17701.05","17712.00","16800.00"
"Mon Apr 24 2023 10:25:00 GMT+0530 (India Standard Time)","17712.00","17714.15","17703.00","17714.00","20700.00"
"Mon Apr 24 2023 10:35:00 GMT+0530 (India Standard Time)","17714.00","17727.30","17714.00","17715.85","26200.00"
"Mon Apr 24 2023 10:45:00 GMT+0530 (India Standard Time)","17714.75","17721.50","17711.45","17716.90","22500.00"
"Mon Apr 24 2023 10:55:00 GMT+0530 (India Standard Time)","17716.90","17725.00","17713.00","17722.40","17450.00"
"Mon Apr 24 2023 11:05:00 GMT+0530 (India Standard Time)","17722.40","17725.00","17712.50","17722.95","29450.00"
"Mon Apr 24 2023 11:15:00 GMT+0530 (India Standard Time)","17722.50","17731.25","17718.95","17723.55","38800.00"
"Mon Apr 24 2023 11:25:00 GMT+0530 (India Standard Time)","17723.55","17726.25","17706.25","17712.70","25400.00"
